SectionId,SectionTitle,SectionSubtitle,SectionBgImage,SectionIconSVGPath,DashboardURL,DashboardIconSVGPath,DashboardTitle
performance,Performance Summary,"Key metrics, sales, and store performance dashboards",https://raw.githubusercontent.com/bhavinks84/PBIMenu/refs/heads/main/img/bg_performance.png,"<path d=""M3 3v18h18M9 17V9m4 8v-5m4 5V6"" />",#,"<path
                  d=""M14 2H6a2 2 0 0 0-2 2v16a2 2 0 0 0 2 2h12a2 2 0 0 0 2-2V8l-6-6zM14 2v6h6M16 13H8m8 4H8m2-8H8"" />",Executive Summary
performance,Performance Summary,"Key metrics, sales, and store performance dashboards",https://raw.githubusercontent.com/bhavinks84/PBIMenu/refs/heads/main/img/bg_performance.png,"<path d=""M3 3v18h18M9 17V9m4 8v-5m4 5V6"" />",#,"<path d=""M12 20V10m6 10V4M6 20v-4"" />",Key Figures
performance,Performance Summary,"Key metrics, sales, and store performance dashboards",https://raw.githubusercontent.com/bhavinks84/PBIMenu/refs/heads/main/img/bg_performance.png,"<path d=""M3 3v18h18M9 17V9m4 8v-5m4 5V6"" />",#,"<path d=""M22 12h-4l-3 9L9 3l-3 9H2"" />",Sales Performance
performance,Performance Summary,"Key metrics, sales, and store performance dashboards",https://raw.githubusercontent.com/bhavinks84/PBIMenu/refs/heads/main/img/bg_performance.png,"<path d=""M3 3v18h18M9 17V9m4 8v-5m4 5V6"" />",#,"<path d=""M3 9l9-7 9 7v11a2 2 0 0 1-2 2H5a2 2 0 0 1-2-2z"" />
                <polyline points=""9 22 9 12 15 12 15 22"" />",Top Stores Performance
performance,Performance Summary,"Key metrics, sales, and store performance dashboards",https://raw.githubusercontent.com/bhavinks84/PBIMenu/refs/heads/main/img/bg_performance.png,"<path d=""M3 3v18h18M9 17V9m4 8v-5m4 5V6"" />",#,"<path
                  d=""M17 21v-2a4 4 0 0 0-4-4H5a4 4 0 0 0-4 4v2M23 21v-2a4 4 0 0 0-3-3.87M16 3.13a4 4 0 0 1 0 7.75M9 7a4 4 0 1 0 0 8 4 4 0 0 0 0-8z"" />",Performance Waterfall
performance,Performance Summary,"Key metrics, sales, and store performance dashboards",https://raw.githubusercontent.com/bhavinks84/PBIMenu/refs/heads/main/img/bg_performance.png,"<path d=""M3 3v18h18M9 17V9m4 8v-5m4 5V6"" />",#,"<path d=""M12 1v22M17 5H9.5a3.5 3.5 0 0 0 0 7h5a3.5 3.5 0 0 1 0 7H6"" />",FX Impact on Sales
performance,Performance Summary,"Key metrics, sales, and store performance dashboards",https://raw.githubusercontent.com/bhavinks84/PBIMenu/refs/heads/main/img/bg_performance.png,"<path d=""M3 3v18h18M9 17V9m4 8v-5m4 5V6"" />",#,"<path d=""M3 9l9-7 9 7v11a2 2 0 0 1-2 2H5a2 2 0 0 1-2-2z"" />
                <polyline points=""9 22 9 12 15 12 15 22"" />",Store ID
performance,Performance Summary,"Key metrics, sales, and store performance dashboards",https://raw.githubusercontent.com/bhavinks84/PBIMenu/refs/heads/main/img/bg_performance.png,"<path d=""M3 3v18h18M9 17V9m4 8v-5m4 5V6"" />",#,"<path d=""M16 8a6 6 0 0 1 6 6v7h-4v-7a2 2 0 0 0-4 0v7h-4v-7a6 6 0 0 1 6-6zM2 9h4v12H2z"" />",Commercial Investments
performance,Performance Summary,"Key metrics, sales, and store performance dashboards",https://raw.githubusercontent.com/bhavinks84/PBIMenu/refs/heads/main/img/bg_performance.png,"<path d=""M3 3v18h18M9 17V9m4 8v-5m4 5V6"" />",#,"<path d=""M22 12h-4l-3 9L9 3l-3 9H2"" />",TCM Evolution
performance,Performance Summary,"Key metrics, sales, and store performance dashboards",https://raw.githubusercontent.com/bhavinks84/PBIMenu/refs/heads/main/img/bg_performance.png,"<path d=""M3 3v18h18M9 17V9m4 8v-5m4 5V6"" />",#,"<path d=""M18 20V10m-6 10V4M6 20v-6"" />",Profitability Metrics
